date,gain
2008/6/3,-42.77773108
2008/6/4,-44.8353495
2008/6/5,53.92584028
2008/6/6,-121.0104241
2008/6/9,-37.41425072
2008/6/10,-125.462356
2008/6/11,-90.56743026
2008/6/12,-42.70689972
2008/6/13,68.94933362
2008/6/16,64.43001657
2008/6/17,-6.92486266
2008/6/18,-82.77122128
2008/6/19,-48.38216298
2008/6/20,-136.9842723
2008/6/23,-31.03368053
2008/6/24,-9.81437503
2008/6/25,14.21794143
2008/6/26,-164.0748739
2008/6/27,-54.54671586
2008/6/30,53.31587297
2008/7/1,-88.54557582
2008/7/2,-118.1165761
2008/7/3,26.95392338
2008/7/7,-25.296383
2008/7/8,-39.41246556
2008/7/9,-0.449059842
2008/7/10,-52.83443932
2008/7/11,-123.0440814
2008/7/14,8.146203399
2008/7/15,-102.165321
2008/7/16,71.40393405
2008/7/17,205.5103592
2008/7/18,33.95933421
2008/7/22,92.28813974
2008/7/23,70.12114176
2008/7/24,-133.8747078
2008/7/25,-28.76045357
2008/7/28,-100.800995
2008/7/29,34.35775178
2008/7/30,167.8823659
2008/7/31,-68.61910482
2008/8/1,-113.0941009
2008/8/4,-84.35965018
2008/8/5,188.9864775
2008/8/6,66.71541385
2008/8/7,-120.2327321
2008/8/8,49.35095946
2008/8/11,101.1340937
2008/8/12,-103.1419966
2008/8/13,-191.2690664
2008/8/14,50.81277102
2008/8/15,-40.12507415
2008/8/18,-34.43484386
2008/8/19,-185.1269494
2008/8/20,51.84904623
2008/8/21,42.64307968
2008/8/22,89.56124239
2008/8/26,-123.3425654
2008/8/27,65.38228853
2008/8/28,127.9514646
2008/8/29,20.52265008
2008/9/2,-156.8298565
2008/9/3,-79.35322028
2008/9/4,-253.3849561
2008/9/5,-123.0999335
2008/9/8,284.9246916
2008/9/9,-156.5111749
2008/9/10,-47.04877594
2008/9/11,-13.7239132
2008/9/12,155.0224743
2008/9/16,-477.841001
2008/9/17,-184.4496294
2008/9/18,129.7805852
2008/9/19,555.7954114
2008/9/22,-133.7443762
2008/9/24,-142.5354944
2008/9/25,126.4389672
